X,Y,Z,formation
5650.3503,1000,-1217.8441,Pgc
5623.292,1000,-550.1467,Pgc
5816.8391,1000,-517.0935,Pgc
6016.1065,1000,-483.0634,Pgc
6200.9439,1000,-451.4976,Pgc
6364.4068,1000,-404.4674,Pgc
6540.5146,1000,-353.7991,Pgc
6687.8025,1000,-268.5819,Pgc
6816.1941,1000,-194.2977,Pgc
6946.1071,1000,-119.1332,Pgc
7036.8963,1000,-66.6048,Pgc
7133.7747,1000,-66.6048,Pgc
7217.9677,1000,-66.6048,Pgc
7316.6725,1000,-114.0786,Pgc
7414.1436,1000,-215.1859,Pgc
7556.032,1000,-301.4972,Pgc
7645.4378,1000,-355.8832,Pgc
7771.9517,1000,-373.979,Pgc
8005.7006,1000,-373.979,Pgc
8259.987,1000,-373.979,Pgc
8732.4324,1000,-391.604,Pgc
8920.4817,1000,-398.6194,Pgc
9232.9992,1000,-422.4612,Pgc
9465.4825,1000,-441.0246,Pgc
9773.249,1000,-465.5993,Pgc
9987.1502,1000,-482.6789,Pgc
